person id,score
29a147db_6bd23fa6,-2
6fe81780_1e8877f3,1
85faf74b_ad9ffecf,-1
bc690a9e_d009bb13,-2
8f4c2889_5b27284e,-2
361846a0_89d7d471,-2
3c13574e_d7df96a4,2
2d0b272c_d52dda65,-1
905dd56f_e16b0eda,3
ac8f66e1_af29ebcd,-2
bb6b6fef_9cfdcf0,-2
6b7d98c5_22c648a0,-3
ceb30230_1231a1fc,2
d8a05627_43f659a5,-1
e3c60e46_7459deae,3
be731069_bf767ea3,-3
e5a86e54_6acc1ccf,-1
6b173066_9708f8f2,-2
38ee9a67_38e673a6,2
2ea9f36d_a5808bf0,-2
dd0fa368_24a49c2e,2
fbff46d9_b0741550,-2
f0b4804f_2d859df8,2
37aa5f7f_c62fd1e8,1
3a3714fe_9e85caee,-2
97e625e8_2b4cb343,2
366403c2_a2d6f417,-2
4ef00044_557c7c45,2
ac6340b3_be7cf36,1
953e0693_78631912,-2
a409b176_7b0dd2e4,-2
ca82639b_5ef8b4b5,2
412e2f32_f7f618c3,-2
af79bad9_a530e491,2
a02e9e6f_4c770186,-2
b34d392d_4ee26045,2
761df64e_1bc03140,1
ff73cd11_4dc7bdab,2
4665f2f5_786d5633,2
5148a16a_5c827121,-3
589198d8_8c5f5469,1
c8dd2d02_a9ab9b5a,3
39cdef64_3a97a17,-2
e8308da3_8c73d732,-2
dd00b66e_a6c248d2,-2
5fac6ac7_1a886937,2
b6d98959_d18a4c52,-2
f01d87b1_648512e3,-2
4afe9465_be8dfa7a,2
5ad22641_2d2b8aa,-2
6eb8038a_d7df65f7,3
3d54f335_c9d0e769,2
71b351d6_14f10db6,-2
31f3599a_b0edcf63,-1
55edf61b_518709b1,-2
b71242b4_4764680c,-2
d9342e24_911e3dd9,-3
9e4b0562_ff29bf7a,-2
92dae8f6_719290cc,-2
d42f67e3_8cf01940,-3
54f9629a_f89e7910,1
141daa7f_38b91712,2
bdd6f105_178c48df,-2
8843dd01_61fb9f0d,-2
9642deca_42996d21,-3
de65cae3_ebbd6f37,2
58129dad_ae5a9aa1,1
f0d3be7c_60acd1e3,-2
cb106bbb_15e39af1,2
69673dea_21a7b6b8,-3
f77c2915_f8509483,-1
2f5c1e73_5dcc5c6,-2
450152ba_5a41fc68,-2
d7d174c9_a57c736,2
bf741700_7d0b0e81,-2
6e9564c6_5d34811b,-3
caa12de0_a234df25,2
756cf40c_1ec81372,-1
ad0d764f_9c7f8847,3
99a51827_ae12308e,-2
febd9796_8b893325,2
8d861cda_5fe3ecb8,-2
857ac4f0_3a785bf0,-2
b3f834fe_cd3e9607,-3
c2ae8950_a4e8efab,3
673bd66f_89e7b53f,2
6ad321a4_1f951fd4,3
86168dfb_25094f85,1
b0f094fd_f6562dc3,-2
ba0f6006_5551ee80,2
409be430_768aea8c,1
